magnification abell383 abell1423 abell209 abell2261 abell611 clj1226 macs0329 macs0416 macs0429 macs0647 macs0717 macs0744 macs1115 macs1149 macs1206 macs1311 macs1423 macs1720 macs1931 macs2129 ms2137 rxj1347 rxj1532 rxj2129 rxj2248
61.0 1.83958286877 3.90315409457 3.88255947737 14.7602555079 8.1599829626 14.1825081999 19.657783828 19.3573692923 5.96754254578 18.0334280153 71.3724560374 9.59004184455 10.7572128541 41.9056874331 9.68105226389 7.16001015605 9.96217132084 5.44763989427 9.66318594491 12.526985724 5.96259047637 21.4907107462 16.2395229394 4.3475870298 29.3400967934
62.0 1.77871914312 3.77329517693 3.75480072214 14.2763958557 7.89248173916 13.7399651908 19.0129484855 18.7405530739 5.76672915544 17.4561755073 69.0904930938 9.27287565476 10.4073980157 40.5522964038 9.36781381034 6.9269073177 9.6404506555 5.26863852219 9.35765693374 12.1212911617 5.76695797984 20.7971499943 15.781539447 4.20509616482 28.4320721478
63.0 1.7206386506 3.64932083001 3.63281216031 13.8152697389 7.6370822672 13.3174007259 18.3980785029 18.1523081911 5.57510033323 16.9060199899 66.9183410404 8.97036862605 10.0733950331 39.2641559817 9.06885121509 6.70437905933 9.33378334198 5.0975799368 9.06612623699 11.7342483204 5.58027204596 20.136233862 15.3422437561 4.06897098361 27.5657383919
64.0 1.6651754156 3.53088502673 3.51625409071 13.3754809124 7.39307160066 12.9136249417 17.8113593388 17.5909000935 5.39211312466 16.3812887907 64.8490822356 8.6816382288 9.75427203316 38.0371617386 8.78331277687 6.49179891955 9.04124613062 4.93400732046 8.78774784731 11.3647343613 5.40199862458 19.505947667 14.9206116872 3.93884135599 26.7385685008
65.0 1.61217574357 3.41766698111 3.40481167443 12.9557388218 7.15978887714 12.5275359225 17.2511118427 17.0547240274 5.21726425179 15.8804366436 62.8763330742 8.40586758189 9.44916519612 36.8675250587 8.51040976825 6.28858645865 8.76198559582 4.77749652288 8.5217391632 11.0117100755 5.23164316802 18.9044299095 14.5156900151 3.8143639336 25.9482248171
66.0 1.56149713639 3.30936894741 3.29819275808 12.554849126 6.93662077621 12.158111961 16.7157802792 16.5422935338 5.05008665628 15.402034196 60.9941954524 8.14229964693 9.15727282963 35.7517445627 8.24941088969 6.09420322652 8.49521188104 4.62765325997 8.2673753366 10.6742124791 5.06874714892 18.3299584906 14.1265905298 3.69521982769 25.1925422238
67.0 1.51300731881 3.20571424219 3.19612591833 12.1717051988 6.72299743688 11.8044046059 16.2039215738 16.0522301203 4.89014639167 14.9447577088 59.1972132866 7.89023201577 8.87785004055 34.6865804924 7.99963728857 5.9081491397 8.24019308905 4.48411059242 8.02398420247 10.3513481645 4.91288493349 17.7809383567 13.7524846792 3.5811125212 24.4695130397
68.0 1.46658336302 3.10644546346 3.09835870221 11.8052804949 6.51838878168 11.4655324067 15.7141956394 15.5832539715 4.73703982472 14.5073798102 57.4803334944 7.6490122229 8.61020393631 33.6690317101 7.76045807822 5.72995922072 7.99625024251 4.34652665217 7.79094172263 10.0422873234 4.76366096897 17.2558904052 13.3925987269 3.47176598812 23.7772734384
69.0 1.4221109001 3.0113228848 3.00465604101 11.4546216818 6.3223012014 11.1406752761 15.2453566608 15.13417558 4.59039111111 14.0887611816 55.8388709238 7.41803352275 8.35368929603 32.6963150151 7.53128630014 5.55920065848 7.76275274917 4.21458258908 7.56766788493 9.74625836148 4.6207072496 16.7534415038 13.0462093707 3.36692299683 23.1140912185
70.0 1.37948340867 2.92012300475 2.91479881812 11.118842451 6.13427456021 10.8290694008 14.7962452293 14.7038881951 4.44984991481 13.6878430706 54.2684767805 7.19673107981 8.10770465934 31.7658465134 7.31157527949 5.39547015394 7.53911431492 4.0879807134 7.35362300623 9.46254304154 4.48368102988 16.2723155006 12.7126397694 3.26634357689 22.4783547714
71.0 1.33860157207 2.83263723453 2.82858257412 10.7971179313 5.95387948623 10.5300026412 14.3657812355 14.2913609996 4.31508934458 13.3036405359 52.765110163 6.98457852586 7.87168878715 30.875224813 7.10081533088 5.23839151972 7.32478925468 3.96644281298 7.14830439425 9.1904720941 4.35226275767 15.8113251112 12.3912559366 3.16980363142 21.8685631168
72.0 1.29937269662 2.74867070904 2.74581633389 10.4886796396 5.78071491647 10.2428103661 13.9529574354 13.8956329344 4.18580408403 12.9352363466 51.3250123595 6.78108484427 7.64511745425 30.022215842 6.89853077587 5.08761350598 7.11926915739 3.84970862623 6.95124332889 8.92942124602 4.22615420323 15.3693645876 12.0814634611 3.07709367926 21.2833168864
73.0 1.26171018439 2.66804120807 2.66632154289 10.19281091 5.61440586917 9.96687167521 13.55683362 13.515807102 4.06170869463 12.5817754614 49.9446836074 6.58579154616 7.4275005384 29.2047391157 6.70427723911 4.94280782851 6.9220798668 3.73753445472 6.76200232839 8.67880762138 4.1050767632 14.9454030844 11.782704522 2.98801771322 20.7213101565
