magnification abell383 abell1423 abell209 abell2261 abell611 clj1226 macs0329 macs0416 macs0429 macs0647 macs0717 macs0744 macs1115 macs1149 macs1206 macs1311 macs1423 macs1720 macs1931 macs2129 ms2137 rxj1347 rxj1532 rxj2129 rxj2248
49.0 3.4810658588 7.42745777568 7.22582188921 27.9872838758 15.3190862233 24.8649459495 36.1952047177 36.0800869545 11.2442074585 33.3397999249 134.829824313 17.6012043916 19.9741869372 84.8774749416 17.908854582 13.1823902476 18.5886700637 10.2121023434 17.8765647226 23.6151983618 11.1921404163 40.7351610834 28.3072064979 8.13575705849 53.9128069536
50.0 3.34322559319 7.13335971297 6.94196568292 26.8680581214 14.723183337 23.9182495476 34.7430737853 34.670665936 10.7920738722 32.0207328899 129.528912986 16.8943076119 19.201110891 81.4690158413 17.2112745235 12.6638234351 17.8566348629 9.81578648831 17.1875112126 22.676406112 10.7501703438 39.1256143065 27.3695323827 7.82053788889 51.8762456218
51.0 3.21309088676 6.85544432232 6.6737693792 25.8133298911 14.1600461459 23.0243121434 33.3738669803 33.3412416755 10.3650544669 30.7781688529 124.541874926 16.2275362432 18.470579476 78.2604968925 16.5525761343 12.1740416548 17.1666540009 9.44074603485 16.5373606034 21.7904561478 10.3329056437 37.6089863391 26.4785678491 7.52242221748 49.9547713697
52.0 3.09009516741 6.59254421136 6.42009544728 24.8182380823 13.6273038482 22.1792490358 32.0814126669 32.0858721125 9.96133109883 29.6062885628 119.844458756 15.5979138719 17.7795121423 75.2367149003 15.9299069479 11.7109479678 16.5155594225 9.08548074593 15.9232113978 20.9534574833 9.93853292037 36.1782503616 25.6311446438 7.24018608624 48.1398010466
53.0 2.97372362332 6.34359679271 6.17990929341 23.8783724397 13.1227989299 21.3795297771 30.8601041528 30.8991580553 9.57924876576 28.4998171671 115.414701304 15.0027366929 17.1251052611 72.3838756923 15.3406739332 11.2726349406 15.9004768243 8.74862256342 15.3424299509 20.1618731634 9.56540382798 34.8270328652 24.8243666949 6.97271495774 46.423540955
54.0 2.86350757 6.10763304505 5.95226813774 22.9897241418 12.6445642857 20.621939836 29.7048385464 29.7761845934 9.21729816323 27.4539641012 111.232674315 14.439543898 16.5048024828 69.6894409613 14.7825154433 10.8573642574 15.3187934772 8.42892164507 14.7926211482 19.4124820365 9.21201720024 33.5495419627 24.0555819347 6.71899200491 44.7989010122
55.0 2.75901952546 5.88376767003 5.73631128237 22.1486426084 12.1908031784 19.9035470406 28.6109632213 28.7124697716 8.87410039824 26.4643705926 107.280263172 13.9060917688 15.9162687609 67.1419941229 14.2532766639 10.4635488654 14.7681300964 8.12523411482 14.2716027789 18.7023452846 8.87700341302 32.3405047228 23.3223575184 6.47808785411 43.2594196321
56.0 2.65986889316 5.67119044881 5.53125157372 21.3517976481 11.7598716374 19.2216721273 27.5742288218 27.7039195133 8.54839355854 25.5270636945 103.540973109 13.4003309528 15.3573675292 64.7311225429 13.7509880679 10.0897372997 14.2463161854 7.8365112881 13.777383079 18.0287770432 8.55911066572 31.1951122558 22.6224579729 6.24915157713 41.7991978194
57.0 2.56569816778 5.46915863287 5.33636789343 20.596146202 11.3502629623 18.5738628318 26.5907479096 26.7467879366 8.23902088275 24.6384159376 99.9997590716 12.9203864822 14.826140601 62.4473138966 13.2738464612 9.7345998848 13.7513683725 7.56179017058 13.3081410034 17.3893185476 8.25719291536 30.1089714694 21.953825884 6.03140275995 40.4128412067
58.0 2.47617959247 5.27699022866 5.15099853755 19.8789030567 10.9605940457 17.9578710396 25.6569584898 25.8376423371 7.94492031532 23.795109827 96.6428760124 12.4645401597 14.3207904211 60.2818647591 12.8201982674 9.3969165601 13.2814713295 7.30018505952 12.8622088521 16.7817153271 7.97019923836 29.0780625853 21.3145647846 5.82412450231 39.0954089561
59.0 2.39101220662 5.09405805739 4.97453536498 19.1975149917 10.5895932739 17.3716325899 24.7695917652 24.9733322195 7.66511526287 22.9941065299 93.4577468537 12.0312149978 13.8396643609 58.2267998082 12.3885247524 9.07556611285 12.8349609283 7.05088010247 12.4380569346 16.2038970421 7.69716442911 28.0987016419 20.7029239606 5.6266572243 37.8423686113
60.0 2.30991923269 4.91978448845 4.80641861413 18.5496379093 10.2360897986 16.813249384 23.9256435697 24.1509618509 7.39870639537 22.2326181976 90.4328457932 11.6189614387 13.3812407904 56.2748002575 11.977428936 8.76951663455 12.410309338 6.81312268935 12.0342800025 15.6539596182 7.43720067282 27.1675073256 20.1172849296 5.43839317431 36.6495561188
61.0 2.23264575805 4.7536367598 4.6461323011 17.9331165581 9.89900400603 16.2809735017 23.1223490042 23.3678658845 7.1448643584 21.5080834478 87.557594946 11.2264451263 12.9441166982 54.4191403387 11.5856239701 8.47781704344 12.0061118117 6.58621757183 11.64958522 15.1301493803 7.18949015386 26.2813715666 19.5561493826 5.25877154849 35.5131403525
62.0 2.158956674 4.59512281129 4.49320012563 17.3459665188 9.57733902872 15.7731930719 22.3571598732 22.6215876666 6.90282328183 20.8181455992 84.8222726164 10.8524360329 12.5269966664 52.6536308149 11.2119228008 8.19958953845 11.6210749471 6.36952161911 11.2827814765 14.6308489367 6.9532784806 25.4374334199 19.0181284082 5.08727414412 34.4295915699
63.0 2.08863483986 4.44378756704 4.34718182123 16.7863581684 9.27017317379 15.2884196775 21.6277245704 21.9098598943 6.67187498616 20.1606333125 82.2179317301 10.4957987692 12.1286830318 50.9725686533 10.8552289513 7.93402286855 11.2540062355 6.16243913172 10.9327698707 14.1545645912 6.72786882481 24.6330558171 18.5019328457 4.92342148085 33.3956533083
64.0 2.02147944414 4.29920961195 4.20766989486 16.2526023775 8.97665315371 14.8252771071 20.9318701163 21.2305873369 6.45136380171 19.533543337 79.7363271649 10.1554839352 11.7480670884 49.3706921028 10.5145282901 7.68036631794 10.9038047399 5.96441764592 10.5985352232 13.6999151002 6.51261668773 23.8658048341 18.0063646301 4.7667693325 32.4083172994
65.0 1.95730453888 4.16099821506 4.07428670897 15.7431377294 8.6959880239 14.3824912902 20.2675860856 20.5818313715 6.24068192702 18.9350251051 77.3698508901 9.83052038255 11.3841212077 47.8431405244 10.1888816641 7.43792432066 10.5694527645 5.77494417015 10.2791384899 13.2656216086 6.30692521685 23.1334311672 17.5303090148 4.61690562004 31.464801035
66.0 1.89593772648 4.02879065848 3.94668186519 15.2565190784 8.42744374334 13.958881276 19.6330102016 19.9617961202 6.03926526278 18.3633669515 75.1114739708 9.52000828168 11.0358917667 46.38541841 9.87741829453 7.20605163018 10.2500083974 5.593541803 9.97370997012 12.8504986278 6.11024100792 22.4338535534 17.0727275697 4.4734476231 30.5625276702
67.0 1.83721898098 3.9022498364 3.82452985417 14.7914072894 8.17033828553 13.5533511323 19.0264154018 19.3688159995 5.84658966629 17.8169837641 72.9546946241 9.22311289836 10.7024927907 44.9933630993 9.57932984554 6.98414897897 9.94459882216 5.41976668871 9.68144321408 12.4534459319 5.92205033519 21.7651439046 16.6326518668 4.33603947278 29.6991079867
